Name,Country,Grid in,Capacity MWp or MWAC (*),Location,Annual Output GWh,Land Size km²,Remarks,Developer
Bhadla Solar Park,India,2020,2245,map,,57,"The planned capacity of 2,245 MWDC totally commissioned","Rajasthan Solar Park Development Company Limited, Saurya Urja Company, Adani Renewable Energy Park Rajasthan"
Huanghe Hydropower Hainan Solar Park,China,2020,2200,map,,,"Built in five phases, it consists of 672 PV arrays with over 7 million PV modules",Longyuan Power
Pavagada Solar Park,India,2019,2050,map,,53,In Karnataka state,
Benban Solar Park,Egypt,2019,1650,map,,37,In Aswan,Egyptian Electricity Transmission Company
Tengger Desert Solar Park,China,2016,1547,map,,43,"In Zhongwei, Ningxia",China National Grid and Zhongwei Power Supply Co.
Noor Abu Dhabi,United Arab Emirates,2019,1177,map,,8,Located at Sweihan.,Marubeni and Jinko Solar
Mohammed bin Rashid Al Maktoum Solar Park,United Arab Emirates,2020,1013,map,,,"Phase I completed in 2013, followed by Phase II and III. Phase IV (including 250 MW PV) is under construction, 950 MW Phase V is planned.",ACWA Power
Kurnool Ultra Mega Solar Park,India,2017,1000,map,,24,,Sweihan Solar Holding Company
Datong Solar Power Top Runner Base,China,2016,1000,map,,,Total capacity will be 3 GW in 3 phases.,United PV
NP Kunta,India,2021,978,map,,,In Nambulapulakunta Mandal of Andhra Pradesh state. Total planned capacity 1500 MW,Tata Power Solar and Azure Power
Longyangxia Dam Solar Park,China,2015,850,map,,23,"320 MW Phase I Completed in December 2013, 530 MW phase II in 2015",Longyangxia Reservoir
Villanueva Solar Park,Mexico,2018,828,map,,27.5,,Enel Green Power
Mount Signal Solar,United States,2020,794,map,1197,15.9,Phase 1 of 206 MWAC in May 2014. Phase 3 of 254 MWAC in July 2018. Phase 2 of 154 MWAC completed in January 2020. Total 614 MWAC,8minutenergy Renewables
Rewa Ultra Mega Solar,India,2018,750,map,,6.4,,RUMSL
Solar Star (I and II),United States,2015,747,map,1664,13,"579 MWAC, 747.3 MWDC.[50]",SunPower Services
Charanka Solar Park,India,2012,690,map,,20,Situated at Charanka village in Patan district of Gujarat. Capacity expected to go up to 790 MW in 2019.,Gujarat Power Corporation Limited
Kamuthi Solar Power Project,India,2017,648,map,,10.1,Construction began in 2016 and completed in record 8 months.,Adani Power
Copper Mountain Solar Facility,United States,2016,552*,map,1291,16.2,Largest in Nevada. Proposed fifth unit to add 250MW.,Sempra Generation
